item,ncm,ncm_formatado,match_tipo,prefix_len,descricao_legal,observacao,fonte_url,fonte_atualizacao
1,7005,7005,prefixo,4,"1. Vidros float e reflexivos, classificados no código NCM 7005;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
2,7007,7007,prefixo,4,"2. Vidros de segurança temperados e laminados, classificados no código NCM 7007;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
3,7009,7009,prefixo,4,"3. Espelhos, classificados no código NCM 7009;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
4,9607,9607,prefixo,4,"4. Fechos ecler (fechos-de-correr) classificados no código NCM 9607, exceto insumos, matérias-primas e partes destinadas à sua fabricação pelo próprio importador.",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
5,8903,8903,prefixo,4,"5. Iates e outros barcos e embarcações de recreio ou de esporte; barcos a remos e canoas, classificados no código NCM 8903, de até 60 pés.",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
6,69111010,6911.10.10,exato,8,"6. Porcelanas de mesa, classificadas no código NCM 69.11.10.10 e 69.11.10.90;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
6,69111090,6911.10.90,exato,8,"6. Porcelanas de mesa, classificadas no código NCM 69.11.10.10 e 69.11.10.90;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
7,7013,7013,prefixo,4,"7. Cálices de vidro ou cristal, classificados no código NCM 70.13",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
8,220710,2207.10,prefixo,6,"8. Álcool etílico não desnaturado, com um teor alcoólico, em volume, igual ou superior a 80% (oitenta por cento) vol (álcool etílico anidro combustível e álcool etílico hidratado combustível), classificados no código NCM 2207.10;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
9,2710125,2710125,prefixo,7,"9. Gasolinas, classificadas no código NCM 2710.12.5;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
10,2710191,2710191,prefixo,7,"10. Querosenes, classificados no código NCM 2710.19.1;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
11,2710192,2710192,prefixo,7,"11. Óleos combustíveis, classificados no código NCM 2710.19.2;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
12,2710193,2710193,prefixo,7,"12. Óleos lubrificantes, classificados no código NCM 2710.19.3;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
13,2710199,2710199,prefixo,7,"13. Outros óleos de petróleo ou de minerais betuminosos e preparações não especificadas nem compreendidas em outras posições, que contenham, como constituintes básicos, 70% (setenta por cento) ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, exceto os que contenham biodiesel e os resíduos de óleos, 2710.19.9, exceto: óleos brutos; os desperdícios; os óleos minerais brancos (de origem mineral), derivado do petróleo a partir da destilação fracionada da parte mais leve utilizado em ampla variedade de aplicações cosméticas, como na formulação de cremes, para dar corpo às emulsões e lubricidade na aplicação sobre a pele, também utilizado no preparado de bases cosméticas derivadas e de absorção de lanolina, para ser comercializado na área cosmética e farmacêutica, classificados no código NCM 2710.19.91, e os óleos minerais brancos para transformadores (de origem mineral), derivado do petróleo a partir da destilação fracionada da parte mais leve com propriedades elétricas diferenciadas para atingir o break down da voltagem, utilizado em transformadores elétricos com função de isolamento térmico e refrigeração, classificados no código NCM 2710.19.93;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
13,27101991,2710.19.91,exato,8,"13. Outros óleos de petróleo ou de minerais betuminosos e preparações não especificadas nem compreendidas em outras posições, que contenham, como constituintes básicos, 70% (setenta por cento) ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, exceto os que contenham biodiesel e os resíduos de óleos, 2710.19.9, exceto: óleos brutos; os desperdícios; os óleos minerais brancos (de origem mineral), derivado do petróleo a partir da destilação fracionada da parte mais leve utilizado em ampla variedade de aplicações cosméticas, como na formulação de cremes, para dar corpo às emulsões e lubricidade na aplicação sobre a pele, também utilizado no preparado de bases cosméticas derivadas e de absorção de lanolina, para ser comercializado na área cosmética e farmacêutica, classificados no código NCM 2710.19.91, e os óleos minerais brancos para transformadores (de origem mineral), derivado do petróleo a partir da destilação fracionada da parte mais leve com propriedades elétricas diferenciadas para atingir o break down da voltagem, utilizado em transformadores elétricos com função de isolamento térmico e refrigeração, classificados no código NCM 2710.19.93;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
13,27101993,2710.19.93,exato,8,"13. Outros óleos de petróleo ou de minerais betuminosos e preparações não especificadas nem compreendidas em outras posições, que contenham, como constituintes básicos, 70% (setenta por cento) ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, exceto os que contenham biodiesel e os resíduos de óleos, 2710.19.9, exceto: óleos brutos; os desperdícios; os óleos minerais brancos (de origem mineral), derivado do petróleo a partir da destilação fracionada da parte mais leve utilizado em ampla variedade de aplicações cosméticas, como na formulação de cremes, para dar corpo às emulsões e lubricidade na aplicação sobre a pele, também utilizado no preparado de bases cosméticas derivadas e de absorção de lanolina, para ser comercializado na área cosmética e farmacêutica, classificados no código NCM 2710.19.91, e os óleos minerais brancos para transformadores (de origem mineral), derivado do petróleo a partir da destilação fracionada da parte mais leve com propriedades elétricas diferenciadas para atingir o break down da voltagem, utilizado em transformadores elétricos com função de isolamento térmico e refrigeração, classificados no código NCM 2710.19.93;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
14,27109,27109,prefixo,5,"14. Resíduos de óleos, classificados no código NCM 2710.9;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
15,2711,2711,prefixo,4,"15. Gás de petróleo e outros hidrocarbonetos gasosos, classificados no código NCM 2711;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
17,38260000,3826.00.00,exato,8,"17. Biodiesel e suas misturas, que não contenham ou que contenham menos de 70% (setenta por cento), em peso, de óleos de petróleo ou de óleos minerais betuminosos, classificados no código NCM 3826.00.00;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
18,3403,3403,prefixo,4,"18. Preparações lubrificantes, exceto as contendo, como constituintes de base, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, classificados no código NCM 3403;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
19,27101230,2710.12.30,exato,8,"19. Aguarrás mineral (White spirit), classificadas no código NCM 2710.12.30;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
20,16041310,1604.13.10,exato,8,"20. Preparações e conservas de sardinha, sardinela, atum, bonito-listrado e bonito-cachorro classificadas nos códigos NCM 16041310, 16042030, 16041410, 16041430, 16042010 e 16042030.",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
20,16041410,1604.14.10,exato,8,"20. Preparações e conservas de sardinha, sardinela, atum, bonito-listrado e bonito-cachorro classificadas nos códigos NCM 16041310, 16042030, 16041410, 16041430, 16042010 e 16042030.",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
20,16041430,1604.14.30,exato,8,"20. Preparações e conservas de sardinha, sardinela, atum, bonito-listrado e bonito-cachorro classificadas nos códigos NCM 16041310, 16042030, 16041410, 16041430, 16042010 e 16042030.",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
20,16042010,1604.20.10,exato,8,"20. Preparações e conservas de sardinha, sardinela, atum, bonito-listrado e bonito-cachorro classificadas nos códigos NCM 16041310, 16042030, 16041410, 16041430, 16042010 e 16042030.",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
20,16042030,1604.20.30,exato,8,"20. Preparações e conservas de sardinha, sardinela, atum, bonito-listrado e bonito-cachorro classificadas nos códigos NCM 16041310, 16042030, 16041410, 16041430, 16042010 e 16042030.",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
21,54024400,5402.44.00,exato,8,"21. Fios de filamentos sintéticos (exceto linhas para costurar) não acondicionados para venda a retalho, incluídos os monofilamentos sintéticos com menos de 67 decitex, de elastômeros, classificados no código NCM 5402.44.00;",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
22,54041100,5404.11.00,exato,8,"22. Monofilamentos sintéticos, com pelo menos 67 decitex e cuja maior dimensão da seção transversal não seja superior a 1 mm; lâminas e formas semelhantes (por exemplo, palha artificial) de matérias têxteis sintéticas, cuja largura aparente não seja superior a 5 mm, de elastômeros, classificados no código NCM 5404.11.00.",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
23,84515020,8451.50.20,exato,8,"23. Máquinas de corte automático de tecidos, classificadas no código NCM 8451.50.20.",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
47,2710124,2710124,prefixo,7,"47. Nafta petroquímica e outras naftas, classificadas no código NCM 2710.12.4.",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
48,73071910,7307.19.10,exato,8,"48. Tubos de ferro fundido maleável, classificados no código NCM 7307.19.10.",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
49,73071990,7307.19.90,exato,8,"49. Conexões de ferro fundido maleável, classificadas no código NCM 7307.19.90.",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
50,0401,0401,prefixo,4,"50. Leites e derivados, classificados nas posições de 0401 a 0406 do código da NCM.",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
50,0402,0402,prefixo,4,"50. Leites e derivados, classificados nas posições de 0401 a 0406 do código da NCM.",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
50,0403,0403,prefixo,4,"50. Leites e derivados, classificados nas posições de 0401 a 0406 do código da NCM.",Mercadoria relacionada no Anexo Unico do Decreto SC 2.128/2009: risco de nao aplicacao do TTD409.,https://legislacao.sef.sc.gov.br/html/decretos/2009/dec_09_2128.htm,2026-06-09
